id,category,filtered,content,summary,prompt_filter_result,completion_filter_result,content_safety_result
0,['Not Hate Speech'],False,서로만이 이렇게 있을때 보기 좋다♥,,,,"{'hate': {'severity': 0, 'filtered': False, 'threshold': 6}, 'selfharm': {'severity': 0, 'filtered': False, 'threshold': 6}, 'sexual': {'severity': 0, 'filtered': False, 'threshold': 6}, 'violence': {'severity': 0, 'filtered': False, 'threshold': 6}}"
1,['Not Hate Speech'],False,승호 키스신에 누나는 웁니다..흑흑..너무 찐하쟈너..무방비상태였는데 충격먹음..손은 왜이리 남자냐~~♡♡,,,,"{'hate': {'severity': 0, 'filtered': False, 'threshold': 6}, 'selfharm': {'severity': 0, 'filtered': False, 'threshold': 6}, 'sexual': {'severity': 2, 'filtered': False, 'threshold': 6}, 'violence': {'severity': 0, 'filtered': False, 'threshold': 6}}"
2,"['Origin', 'Age']",False,미친돼지새끼 육갑떠네 ㅡㅡ,,,,"{'hate': {'severity': 4, 'filtered': False, 'threshold': 6}, 'selfharm': {'severity': 0, 'filtered': False, 'threshold': 6}, 'sexual': {'severity': 0, 'filtered': False, 'threshold': 6}, 'violence': {'severity': 0, 'filtered': False, 'threshold': 6}}"
3,['Age'],False,전광훈이 교주 됐네 ㅋㅋㅋ 애라이 새꺄 니가 목사면 박쥐가 독수리다 임마,,,,"{'hate': {'severity': 4, 'filtered': False, 'threshold': 6}, 'selfharm': {'severity': 0, 'filtered': False, 'threshold': 6}, 'sexual': {'severity': 0, 'filtered': False, 'threshold': 6}, 'violence': {'severity': 0, 'filtered': False, 'threshold': 6}}"
4,['Not Hate Speech'],False,인덕션 꾹 누를때 기절하는줄ㅋㅋㅋ 아재개그통한다,,,,"{'hate': {'severity': 0, 'filtered': False, 'threshold': 6}, 'selfharm': {'severity': 4, 'filtered': False, 'threshold': 6}, 'sexual': {'severity': 4, 'filtered': False, 'threshold': 6}, 'violence': {'severity': 0, 'filtered': False, 'threshold': 6}}"
5,['Origin'],False,못생긴대로 논다더니 ㅋㅋㅋㅋ,,,,"{'hate': {'severity': 4, 'filtered': False, 'threshold': 6}, 'selfharm': {'severity': 0, 'filtered': False, 'threshold': 6}, 'sexual': {'severity': 0, 'filtered': False, 'threshold': 6}, 'violence': {'severity': 0, 'filtered': False, 'threshold': 6}}"
6,['Not Hate Speech'],False,전라도 광주 아님 청와대 강력 추천 합니다 ^^~,,,,"{'hate': {'severity': 4, 'filtered': False, 'threshold': 6}, 'selfharm': {'severity': 0, 'filtered': False, 'threshold': 6}, 'sexual': {'severity': 0, 'filtered': False, 'threshold': 6}, 'violence': {'severity': 0, 'filtered': False, 'threshold': 6}}"
7,['Not Hate Speech'],False,조국하고 손잡고 감방가자,,,,"{'hate': {'severity': 2, 'filtered': False, 'threshold': 6}, 'selfharm': {'severity': 0, 'filtered': False, 'threshold': 6}, 'sexual': {'severity': 0, 'filtered': False, 'threshold': 6}, 'violence': {'severity': 2, 'filtered': False, 'threshold': 6}}"
8,['Not Hate Speech'],False,정말 뻔한 스토리 노잼이다 홍보 그만좀해라 이제,,,,"{'hate': {'severity': 2, 'filtered': False, 'threshold': 6}, 'selfharm': {'severity': 0, 'filtered': False, 'threshold': 6}, 'sexual': {'severity': 0, 'filtered': False, 'threshold': 6}, 'violence': {'severity': 0, 'filtered': False, 'threshold': 6}}"
9,['Not Hate Speech'],False,이아줌마 또 혼자 잘난척허시네 상대가 유명인 아니라서 미투하지도못하는 중소기업 일반인들은 상대적 박탈감 느낀다. 그래 성추행 폭로도 주익부 빈익빈이구나.. 나만당한게 아닌줄알았는데 나만 폭로 못하는거구나! 하고 실의에 빠짐,,,,"{'hate': {'severity': 2, 'filtered': False, 'threshold': 6}, 'selfharm': {'severity': 0, 'filtered': False, 'threshold': 6}, 'sexual': {'severity': 2, 'filtered': False, 'threshold': 6}, 'violence': {'severity': 0, 'filtered': False, 'threshold': 6}}"
10,"['Politics', 'Age']",False,토착짱깨새기들 좀 꺼져라ㅋㅋ,,,,"{'hate': {'severity': 4, 'filtered': False, 'threshold': 6}, 'selfharm': {'severity': 0, 'filtered': False, 'threshold': 6}, 'sexual': {'severity': 0, 'filtered': False, 'threshold': 6}, 'violence': {'severity': 0, 'filtered': False, 'threshold': 6}}"
11,['Not Hate Speech'],False,자유한국당해산시켜야한다니까 나라위험한데. 쓸때없는짖만하네,,,,"{'hate': {'severity': 2, 'filtered': False, 'threshold': 6}, 'selfharm': {'severity': 0, 'filtered': False, 'threshold': 6}, 'sexual': {'severity': 0, 'filtered': False, 'threshold': 6}, 'violence': {'severity': 0, 'filtered': False, 'threshold': 6}}"
