id,category,filtered,content,summary,prompt_filter_result,completion_filter_result,content_safety_result
0,['Not Hate Speech'],False,서로만이 이렇게 있을때 보기 좋다♥,서로 함께 있을 때가 가장 보기 좋다.,{},{},
1,['Not Hate Speech'],False,승호 키스신에 누나는 웁니다..흑흑..너무 찐하쟈너..무방비상태였는데 충격먹음..손은 왜이리 남자냐~~♡♡,"누나가 승호의 키스신에 감동하여 울며, 충격과 감정을 표현함.",{},{},
2,"['Origin', 'Age']",True,미친돼지새끼 육갑떠네 ㅡㅡ,,,"{'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
3,['Age'],True,전광훈이 교주 됐네 ㅋㅋㅋ 애라이 새꺄 니가 목사면 박쥐가 독수리다 임마,,,"{'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
4,['Not Hate Speech'],False,인덕션 꾹 누를때 기절하는줄ㅋㅋㅋ 아재개그통한다,인덕션을 누를 때 깜짝 놀랄 정도로 강한 반응을 보여 웃음을 자아냄.,{},{},
5,['Origin'],False,못생긴대로 논다더니 ㅋㅋㅋㅋ,못생겼다고 놀림받는 상황을 표현함.,{},{},
6,['Not Hate Speech'],True,전라도 광주 아님 청와대 강력 추천 합니다 ^^~,,,"{'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
7,['Not Hate Speech'],True,조국하고 손잡고 감방가자,,{},"{'filtered': True, 'category': 'violence', 'severity': 'medium'}",
8,['Not Hate Speech'],False,정말 뻔한 스토리 노잼이다 홍보 그만좀해라 이제,지루한 스토리와 과한 홍보에 대한 불만.,{},{},
9,['Not Hate Speech'],False,이아줌마 또 혼자 잘난척허시네 상대가 유명인 아니라서 미투하지도못하는 중소기업 일반인들은 상대적 박탈감 느낀다. 그래 성추행 폭로도 주익부 빈익빈이구나.. 나만당한게 아닌줄알았는데 나만 폭로 못하는거구나! 하고 실의에 빠짐,"유명인과 일반인 간의 차별과 박탈감, 성추행 폭로의 불평등을 느끼며 실의에 빠짐.",{},{},
10,"['Politics', 'Age']",True,토착짱깨새기들 좀 꺼져라ㅋㅋ,,,"{'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
11,['Not Hate Speech'],False,자유한국당해산시켜야한다니까 나라위험한데. 쓸때없는짖만하네,자유한국당 해산이 나라 위험하다고 주장하며 비판하는 내용.,{},{},
12,['Profanity'],True,개조선이 신천지 쉴드치는거보니 기레기들 다 신천지냐 ㅋ 이만희가 시키드나 기자야,,,"{'hate': {'filtered': True, 'severity': 'medium'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}",
