id,category,filtered,content,summary,prompt_filter_result,completion_filter_result
0,['Not Hate Speech'],False,그만큼 길예르모가 잘했다고 보면되겠지 기대되네 셰이프 오브 워터,"길예르모가 잘했다는 점에서 기대가 된다, 셰이프 오브 워터.",{},{}
1,"['Physical', 'Age']",False,"""1. 8넘의 문재앙""","""8넘의 문재앙""은 문재인 정부의 문제점이나 실패를 지적하는 내용을 담고 있습니다.",{},{}
2,['Physical'],False,"""문재인 정권의 내로남불은 타의 추종을 불허하네. 자한당 욕할거리도 없음.""","문재인 정권의 이중적 태도가 심각하며, 자한당은 비판할 점이 없다는 내용입니다.",{},{}
3,['Politics'],True,"""짱개들 지나간 곳은 폐허된다 ㅋㅋ""",,{},"{'filtered': True, 'category': 'hate', 'severity': 'medium'}"
4,['Not Hate Speech'],False,곱창은 자갈치~~~~~,곱창은 자갈치와 관련이 있다.,{},{}
5,['Origin'],False,밥맛없게생겼냐,밥이 맛이 없어 보이냐?,{},{}
6,['Not Hate Speech'],False,알고 보니 외국 국적? 또는 국가유공자?,외국 국적이나 국가유공자에 대한 내용입니다.,{},{}
7,['Not Hate Speech'],False,"""중국 유학생, 중국인들 입국 금지시키고 그들을 위해 쓰여질 많은 세금을 줄여""","중국 유학생들이 중국인들의 입국을 금지하고, 그들을 위해 사용될 세금을 줄이자는 내용입니다.",{},{}
8,"['Politics', 'Religion']",False,"""댓글 길게 쓴거보니 우리 도태한녀 화 많이 났넹 ㅋㅋ 우쭈쭈""",댓글을 길게 쓴 것을 보아 도태한녀가 화가 많이 난 것 같다는 내용이다.,{},{}
9,['Not Hate Speech'],False,이미연 닮음,이미연을 닮은 모습.,{},{}
10,['Not Hate Speech'],False,"""관악 신림동이면 조선족.부랑자들 겁나많은곳.. 이 쪽에서 진상부리다간 칼 부림 난다..""",관악 신림동은 조선족과 부랑자들이 많아 위험한 곳이라는 내용입니다.,{},{}
11,['Politics'],False,"""ㄴ 짱1 깨 수준에 맞긴 하겠네""","요약: ""ㄴ 짱1의 수준에 적합하다.""",{},{}
12,['Origin'],False,짜리몽땅해서 별로일꺼 같은데..얼굴이 이쁘니 뭐 그걸로 된거지~,얼굴이 예쁘면 다른 것들은 별로 중요하지 않다는 내용입니다.,{},{}
13,['Not Hate Speech'],False,진짜 요새느끼는건데 4대보험공제가 제일무서움 이건 쨉도안되징,4대 보험 공제가 가장 두렵다는 느낌을 받고 있다.,{},{}
14,['Not Hate Speech'],False,아비가일 입담 좋네요^^,아비가일의 말솜씨가 뛰어나다는 내용입니다.,{},{}
15,['Physical'],False,"""그린뉴딜 해라 문재앙아 일자리좀 만들어 탈원전 탈석탄 니가 말햇잖아""","요약: ""문재인 정부가 그린 뉴딜을 통해 일자리를 창출하고 탈원전과 탈석탄을 추진하라는 요구가 있다.""",{},{}
16,['Not Hate Speech'],False,희대의 살인마 유영철에 90도 인사하는 꼴 ㅋㅋㅋ,유영철에게 90도 인사하는 모습이 웃기다는 내용입니다.,{},{}
17,['Gender'],False,31살이 아이돌이래 밎친나 기자,31살의 아이돌에 대한 기사입니다.,{},{}
18,['Not Hate Speech'],False,갑자기 키스하고 밤을 보내는데 어안벙벙.. 그러고는 급연애모드.. 너무 빨라;;,"갑자기 키스를 하고 밤을 보내게 되어 당황스러웠고, 이후 급격히 연애 모드로 전환되었다. 너무 빠른 전개에 혼란스러웠다.",{},{}
19,['Not Hate Speech'],False,여자가봐도너무이쁘넹안꾸며도이쁘고꾸미니더이쁘고~~~,"여자는 자연스럽게도 예쁘고, 꾸미면 더 예쁘다는 내용입니다.",{},{}
20,"['Age', 'Gender', 'Religion']",False,송혜교도 저꼴인데 좆소경리 30대상폐년들은 오죽하겠노ㅋㅋㅋㅋㅋㅋ,"송혜교도 힘든 상황인데, 30대 여성들은 더 힘들 것이라는 내용입니다.",{},{}
21,['Not Hate Speech'],True,솔직히 나두 현중오빠한테 항문공격 당해보구싶다ㅠㅠ,,{},"{'filtered': True, 'category': 'sexual', 'severity': 'medium'}"
22,['Not Hate Speech'],False,"""국민과의 대화? 문빠들과의 대화!""","요약: ""국민과의 대화""가 아닌 ""문빠들과의 대화""라는 의미로, 특정 집단과의 소통을 강조하고 있습니다.",{},{}
23,['Not Hate Speech'],False,이주노,이주노는 특정한 주제나 인물에 대한 이름으로 보입니다. 추가적인 정보가 필요합니다.,{},{}
24,['Not Hate Speech'],False,원래 이쁜여자였지 살쪄도 이뻣어 빼니까 섹시해짐 ^^,원래 예뻤던 여자가 살이 빠지면서 더 섹시해졌다는 내용입니다.,{},{}
25,['Not Hate Speech'],False,딸.....,딸에 대한 언급이 있습니다.,{},{}
26,['Politics'],False,강남 쪽바리 아님????,"강남 지역에 대한 언급이 있으며, 특정 집단에 대한 부정적인 표현이 포함되어 있습니다.",{},{}
27,['Not Hate Speech'],False,이럴줄알았다ㅋ 인간들 현우가 영주안택했다고 오지게욕할줄알았ㅇㄷ,현우가 영주안택을 하자 사람들의 반응이 예상대로 부정적이었다.,{},{}
28,['Gender'],False,헐~나이들어 허세 주책이다 진심 2000년대 초반 허세 하두리셀카 보는줄,"나이가 들어 허세가 지나치다는 내용으로, 2000년대 초반의 허세가 떠오른다는 이야기입니다.",{},{}
29,"['Gender', 'Religion']",False,"이제 다들 애엄마들일텐데. 왜 음주운전,도박 범죄자들에 열광하고 옹호하는지 이해 할수가없음.자식들에 죄스럽지 않음?","이제 모두가 부모가 되었는데, 왜 음주운전과 도박 범죄자들을 지지하는지 이해할 수 없으며, 자식들에게 죄스럽지 않은지 의문을 제기하고 있다.",{},{}
30,['Not Hate Speech'],False,"기사에 박진희 13일,내일부터 찍는다잖아요. 아직 촬영한적도 없고 그치만 14일 등장, 하루만에 찍고 등장하는거죠. 왜냐 고현정씨처럼 오후 2시 출근 안하니까요.","박진희가 13일에 촬영을 시작하고 14일에 등장할 예정입니다. 촬영은 하루만에 이루어지며, 고현정과는 다르게 오후 2시에 출근하지 않습니다.",{},{}
31,['Profanity'],False,"""신천지나 개독이나 암적존재구나! 같이손잡고 다같이 뒤져라!""",신천지와 개신교를 비판하며 이들을 함께 처벌하자는 내용입니다.,{},{}
32,['Not Hate Speech'],False,어우 아기 어쩌면 눈이 이리 이쁠까,아기의 눈이 매우 아름답다는 내용입니다.,{},{}
33,['Not Hate Speech'],False,힘내세요 모 세상에 안그런 남자들이 어디있나요똥밣았다생각하시고 몸 잘챙기세요~~,"힘내세요. 세상에 그런 남자는 많지 않으니, 긍정적으로 생각하고 건강을 잘 챙기세요.",{},{}
